agent_id,profile,is_fraud,initial_balance
0,retail,False,999013337.7441424
1,retail,False,999077097.1645123
2,merchant,False,15088.75714347919
3,retail,False,999057702.4020244
4,retail,False,999033270.0629793
5,p2p_broker,False,15573.132036081017
6,retail,False,999045536.8281813
7,retail,False,999078782.0208559
8,retail,False,999060481.4694988
9,retail,False,999006269.5591569
10,retail,False,999054032.6314791
11,merchant,False,11540.122643974166
12,retail,False,999042008.1056668
13,merchant,False,11550.769472975808
14,retail,True,6090.384536007133
15,retail,False,1155.895339150251
16,retail,True,755.0097551694131
17,retail,True,9719.257838860776
18,merchant,False,14136.97500487815
19,retail,False,35770.75036522149
20,retail,False,3496.457077325286
21,retail,False,2698.7746085168187
22,p2p_broker,False,370.0303724903424
23,merchant,False,15613.094711976895
24,retail,True,1520.5761573572934
25,retail,False,11375.704109021335
26,retail,True,892.446312292826
27,retail,False,1318.833685526884
28,retail,False,6452.328658357713
29,retail,False,709.0461916438301
30,retail,False,1413.9895568853485
31,p2p_broker,False,222.50426449935821
32,retail,False,4618.9577843302395
33,retail,True,496.24644174652326
34,retail,False,5077.741715027729
35,retail,True,8565.703859061641
36,retail,False,914.1601922950817
37,retail,False,19452.76643559191
38,retail,True,6847.138026451823
39,retail,False,9219.155558476072
40,retail,False,16889.88149746403
41,merchant,False,29789.857706142615
42,retail,True,2971.0559140291384
43,retail,False,67.33803275846208
44,merchant,False,276.1637670861537
45,merchant,False,38224.34470767081
46,retail,True,734.2159755137188
47,retail,False,1609.6450500517929
48,retail,False,201.83263781039943
49,retail,False,3178.659737598922
50,retail,False,199.64676193797177
51,retail,False,5768.742832442421
52,retail,True,9077.986300941466
53,retail,False,1059.8242237901582
54,retail,False,716.6207730429352
55,retail,False,3486.731813834174
56,retail,False,2412.5854820653485
57,retail,False,10383.065392961553
58,retail,False,992.3295688067506
59,retail,False,5161.190440166496
60,retail,False,7416.1183329849155
61,retail,False,839.1448614724305
62,retail,False,1918.8999078641777
63,retail,False,3896.6765665547873
64,retail,False,4881.808955009788
65,retail,False,4637.07538477405
