txn_id,source_id,target_id,timestamp,amount,is_fraud
0,1775,3507,2023-12-31 20:00:06.315836191,24.739218426154228,0
1,7937,1327,2023-12-31 20:00:45.436376095,40.69405368089137,0
2,3959,7540,2023-12-31 20:01:08.288591623,144.66995301763038,0
3,4027,3079,2023-12-31 20:01:17.499735594,75.65141134867176,0
4,2636,7883,2023-12-31 20:01:18.787884712,222.39396832025042,0
5,1118,8446,2023-12-31 20:01:21.175570488,6.836619680048577,0
6,4238,8635,2023-12-31 20:01:44.311366558,18.514850066320385,0
7,4591,2542,2023-12-31 20:02:28.703181982,58.11235533000769,0
8,5555,9751,2023-12-31 20:03:03.780850172,3507.023163614023,0
9,4130,6744,2023-12-31 20:03:12.541735411,41.57602005283916,0
10,4654,9554,2023-12-31 20:03:21.567702293,21.059287258475553,0
11,7064,4424,2023-12-31 20:03:52.824425459,19.947283940124063,0
12,9355,6695,2023-12-31 20:03:57.693989515,8.40817169911779,0
13,5927,6896,2023-12-31 20:04:05.760539293,2766.4279941377054,0
14,3253,6386,2023-12-31 20:04:07.591545582,87.0143649835167,0
15,4040,6436,2023-12-31 20:04:27.331692219,37.44037015040914,0
16,8519,8173,2023-12-31 20:04:55.134835243,48.826465110564286,0
17,3753,6821,2023-12-31 20:06:19.294859171,90.52636930267086,0
18,3391,4989,2023-12-31 20:06:29.165276051,27.464810349205116,0
19,1112,6583,2023-12-31 20:06:31.094167709,117.2727750886389,0
20,4247,3627,2023-12-31 20:06:32.663619995,24.96351300578751,0
21,3654,2398,2023-12-31 20:07:09.078804493,73.18598486728521,0
22,3986,4919,2023-12-31 20:08:26.640140057,231.95141210367493,0
23,5651,3640,2023-12-31 20:10:08.333765745,37.75068780303,0
24,2883,7643,2023-12-31 20:10:42.584296703,29.167633843435212,0
25,2183,239,2023-12-31 20:11:17.322627068,49.59682250721325,0
26,1729,2965,2023-12-31 20:11:26.846591949,6.027677003149736,0
27,8956,4369,2023-12-31 20:11:27.460306168,66.08677683096009,0
28,8652,133,2023-12-31 20:12:09.824559212,2323.700636564789,0
29,3431,6298,2023-12-31 20:12:15.104696989,18.529867564131813,0
30,1076,910,2023-12-31 20:12:22.992779493,165.80122256005527,0
31,685,8578,2023-12-31 20:12:25.325073242,62.95058259145448,0
32,9102,284,2023-12-31 20:12:45.226634502,126.07185023542624,0
33,4765,6025,2023-12-31 20:12:53.516423941,71.05288794633583,0
34,8767,4592,2023-12-31 20:13:11.493769407,13328.017687795638,0
35,9524,4567,2023-12-31 20:13:16.429758549,45.823061701522825,0
36,5107,6901,2023-12-31 20:14:05.894637585,27.799336336186897,0
37,9737,6584,2023-12-31 20:14:10.885626316,34.5353683546418,0
38,2980,2090,2023-12-31 20:14:21.310323715,225.95456752905912,0
39,8089,1309,2023-12-31 20:14:25.380443811,80.27965853338368,0
